16/12/2023 10:36:21.350 WARN  [main] o.s.b.l.logback.LogbackLoggingSystem (initialize:136): Ignoring 'logback.configurationFile' system property. Please use 'logging.config' instead.
16/12/2023 10:36:21.423 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStarting:55): Starting KlktkotlinApplication.Companion using Java 1.8.0_202 on DESKTOP-K4TI3L5 with PID 17732 (E:\Projects\KLKT\klktkotlin\build\classes\kotlin\main started by giangtd-pc in E:\Projects\KLKT\klktkotlin)
16/12/2023 10:36:21.424 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStartupProfileInfo:632): No active profile set, falling back to 1 default profile: "default"
16/12/2023 10:36:22.815 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer (initialize:108): Tomcat initialized with port(s): 8088 (http)
16/12/2023 10:36:22.822 INFO  [main] o.a.coyote.http11.Http11NioProtocol (log:173): Initializing ProtocolHandler ["http-nio-8088"]
16/12/2023 10:36:22.825 INFO  [main] o.a.catalina.core.StandardService (log:173): Starting service [Tomcat]
16/12/2023 10:36:22.825 INFO  [main] o.a.catalina.core.StandardEngine (log:173): Starting Servlet engine: [Apache Tomcat/9.0.82]
16/12/2023 10:36:23.039 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] (log:173): Initializing Spring embedded WebApplicationContext
16/12/2023 10:36:23.041 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext (prepareWebApplicationContext:292): Root WebApplicationContext: initialization completed in 1555 ms
16/12/2023 10:36:23.609 INFO  [main] o.a.coyote.http11.Http11NioProtocol (log:173): Starting ProtocolHandler ["http-nio-8088"]
16/12/2023 10:36:23.631 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer (start:220): Tomcat started on port(s): 8088 (http) with context path ''
16/12/2023 10:36:23.775 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStarted:61): Started KlktkotlinApplication.Companion in 2.906 seconds (JVM running for 3.985)
16/12/2023 10:36:23.778 INFO  [main] c.k.klktkotlin.KlktkotlinApplication (main:40): HELLO MR.KHOAI!
16/12/2023 10:36:23.779 INFO  [main] c.k.klktkotlin.KlktkotlinApplication (main:42): Active profiles: []
16/12/2023 10:36:34.708 INFO  [http-nio-8088-exec-4] o.a.c.c.C.[Tomcat].[localhost].[/] (log:173): Initializing Spring DispatcherServlet 'dispatcherServlet'
16/12/2023 10:36:34.708 INFO  [http-nio-8088-exec-4] o.s.web.servlet.DispatcherServlet (initServletBean:525): Initializing Servlet 'dispatcherServlet'
16/12/2023 10:36:34.709 INFO  [http-nio-8088-exec-4] o.s.web.servlet.DispatcherServlet (initServletBean:547): Completed initialization in 1 ms
16/12/2023 10:36:34.780 INFO  [http-nio-8088-exec-4] c.k.klktkotlin.webapi.DvcController (getDataTest:57): objInput Test: {"name":"Add your name in the body"}
16/12/2023 10:36:34.843 ERROR [http-nio-8088-exec-4] com.klkt.klktkotlin.repo.DvcTestRepo (getData:18): ERROR:
16/12/2023 10:37:33.658 WARN  [main] o.s.b.l.logback.LogbackLoggingSystem (initialize:136): Ignoring 'logback.configurationFile' system property. Please use 'logging.config' instead.
16/12/2023 10:37:33.703 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStarting:55): Starting KlktkotlinApplication.Companion using Java 1.8.0_202 on DESKTOP-K4TI3L5 with PID 8684 (E:\Projects\KLKT\klktkotlin\build\classes\kotlin\main started by giangtd-pc in E:\Projects\KLKT\klktkotlin)
16/12/2023 10:37:33.704 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStartupProfileInfo:632): No active profile set, falling back to 1 default profile: "default"
16/12/2023 10:37:34.719 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer (initialize:108): Tomcat initialized with port(s): 8088 (http)
16/12/2023 10:37:34.724 INFO  [main] o.a.coyote.http11.Http11NioProtocol (log:173): Initializing ProtocolHandler ["http-nio-8088"]
16/12/2023 10:37:34.725 INFO  [main] o.a.catalina.core.StandardService (log:173): Starting service [Tomcat]
16/12/2023 10:37:34.725 INFO  [main] o.a.catalina.core.StandardEngine (log:173): Starting Servlet engine: [Apache Tomcat/9.0.82]
16/12/2023 10:37:34.887 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] (log:173): Initializing Spring embedded WebApplicationContext
16/12/2023 10:37:34.887 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext (prepareWebApplicationContext:292): Root WebApplicationContext: initialization completed in 1129 ms
16/12/2023 10:37:35.341 INFO  [main] o.a.coyote.http11.Http11NioProtocol (log:173): Starting ProtocolHandler ["http-nio-8088"]
16/12/2023 10:37:35.357 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer (start:220): Tomcat started on port(s): 8088 (http) with context path ''
16/12/2023 10:37:35.463 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStarted:61): Started KlktkotlinApplication.Companion in 2.083 seconds (JVM running for 2.77)
16/12/2023 10:37:35.466 INFO  [main] c.k.klktkotlin.KlktkotlinApplication (main:40): HELLO MR.KHOAI!
16/12/2023 10:37:35.466 INFO  [main] c.k.klktkotlin.KlktkotlinApplication (main:42): Active profiles: []
16/12/2023 10:37:49.152 WARN  [main] o.s.b.l.logback.LogbackLoggingSystem (initialize:136): Ignoring 'logback.configurationFile' system property. Please use 'logging.config' instead.
16/12/2023 10:37:49.214 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStarting:55): Starting KlktkotlinApplication.Companion using Java 1.8.0_202 on DESKTOP-K4TI3L5 with PID 11140 (E:\Projects\KLKT\klktkotlin\build\classes\kotlin\main started by giangtd-pc in E:\Projects\KLKT\klktkotlin)
16/12/2023 10:37:49.215 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStartupProfileInfo:632): No active profile set, falling back to 1 default profile: "default"
16/12/2023 10:37:50.312 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer (initialize:108): Tomcat initialized with port(s): 8088 (http)
16/12/2023 10:37:50.355 INFO  [main] o.a.coyote.http11.Http11NioProtocol (log:173): Initializing ProtocolHandler ["http-nio-8088"]
16/12/2023 10:37:50.357 INFO  [main] o.a.catalina.core.StandardService (log:173): Starting service [Tomcat]
16/12/2023 10:37:50.357 INFO  [main] o.a.catalina.core.StandardEngine (log:173): Starting Servlet engine: [Apache Tomcat/9.0.82]
16/12/2023 10:37:50.473 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] (log:173): Initializing Spring embedded WebApplicationContext
16/12/2023 10:37:50.473 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext (prepareWebApplicationContext:292): Root WebApplicationContext: initialization completed in 1202 ms
16/12/2023 10:37:57.309 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer (start:220): Tomcat started on port(s): 8088 (http) with context path ''
16/12/2023 10:37:57.456 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStarted:61): Started KlktkotlinApplication.Companion in 8.719 seconds (JVM running for 9.982)
16/12/2023 10:37:57.460 INFO  [main] c.k.klktkotlin.KlktkotlinApplication (main:40): HELLO MR.KHOAI!
16/12/2023 10:37:57.460 INFO  [main] c.k.klktkotlin.KlktkotlinApplication (main:42): Active profiles: []
16/12/2023 10:38:11.499 WARN  [main] o.s.b.l.logback.LogbackLoggingSystem (initialize:136): Ignoring 'logback.configurationFile' system property. Please use 'logging.config' instead.
16/12/2023 10:38:11.578 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStarting:55): Starting KlktkotlinApplication.Companion using Java 1.8.0_202 on DESKTOP-K4TI3L5 with PID 14644 (E:\Projects\KLKT\klktkotlin\build\classes\kotlin\main started by giangtd-pc in E:\Projects\KLKT\klktkotlin)
16/12/2023 10:38:11.579 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStartupProfileInfo:632): No active profile set, falling back to 1 default profile: "default"
16/12/2023 10:38:12.981 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer (initialize:108): Tomcat initialized with port(s): 8088 (http)
16/12/2023 10:38:13.033 INFO  [main] o.a.coyote.http11.Http11NioProtocol (log:173): Initializing ProtocolHandler ["http-nio-8088"]
16/12/2023 10:38:13.035 INFO  [main] o.a.catalina.core.StandardService (log:173): Starting service [Tomcat]
16/12/2023 10:38:13.035 INFO  [main] o.a.catalina.core.StandardEngine (log:173): Starting Servlet engine: [Apache Tomcat/9.0.82]
16/12/2023 10:38:13.181 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] (log:173): Initializing Spring embedded WebApplicationContext
16/12/2023 10:38:13.182 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext (prepareWebApplicationContext:292): Root WebApplicationContext: initialization completed in 1533 ms
16/12/2023 10:38:15.580 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:80): db_oracle_e_ktt_test - Starting...
16/12/2023 10:38:21.874 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:82): db_oracle_e_ktt_test - Start completed.
16/12/2023 10:38:24.171 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:80): db_oracle_e_ktt_dev - Starting...
16/12/2023 10:38:28.380 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:82): db_oracle_e_ktt_dev - Start completed.
16/12/2023 10:38:38.486 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer (start:220): Tomcat started on port(s): 8088 (http) with context path ''
